episode_number,episode_id,user_id,vote_key,series_name,season_number
7,9201128,5449324,9201128-5449324-29,A Very Ordinary World,1
8,9201129,5449324,9201129-5449324-3,A Very Ordinary World,1
7,9216458,5449324,9216458-5449324-29,Maldivas,1
2,9216950,5449324,9216950-5449324-3,Bad Sisters,1
2,9229044,5449324,9229044-5449324-3,Queen (2022),1
3,9229045,5449324,9229045-5449324-3,Queen (2022),1
4,9229046,5449324,9229046-5449324-3,Queen (2022),1
1,9290471,5449324,9290471-5449324-3,Off the Hook (2022),1
2,9331240,5449324,9331240-5449324-3,Off the Hook (2022),1
3,9331241,5449324,9331241-5449324-3,Off the Hook (2022),1
4,9331242,5449324,9331242-5449324-3,Off the Hook (2022),1
5,9331243,5449324,9331243-5449324-3,Off the Hook (2022),1
6,9331244,5449324,9331244-5449324-3,Off the Hook (2022),1
6,9469669,5449324,9469669-5449324-29,Too Hot to Handle,4
1,9567043,5449324,9567043-5449324-29,The Afterparty,2
2,9568011,5449324,9568011-5449324-29,The Afterparty,2
10,9640350,5449324,9640350-5449324-3,Skam France,11
8,9696129,5449324,9696129-5449324-27,The Big Door Prize,1
9,9696130,5449324,9696130-5449324-28,The Big Door Prize,1
10,9696131,5449324,9696131-5449324-28,The Big Door Prize,1
1,9757136,5449324,9757136-5449324-29,Black Mirror,6
1,9779150,5449324,9779150-5449324-3,Skam France,12
8,9779157,5449324,9779157-5449324-3,Skam France,12
9,9779158,5449324,9779158-5449324-29,Skam France,12
2,9785517,5449324,9785517-5449324-28,Black Mirror,6
3,9836764,5449324,9836764-5449324-29,Drag Race France,2
5,9836767,5449324,9836767-5449324-29,Drag Race France,2
8,9836770,5449324,9836770-5449324-3,Drag Race France,2
9,9932501,5449324,9932501-5449324-3,Drag Race France,2
1,10398314,5449324,10398314-5449324-29,Baby Reindeer,1
2,10410193,5449324,10410193-5449324-29,Baby Reindeer,1
3,10410194,5449324,10410194-5449324-29,Baby Reindeer,1
4,10410195,5449324,10410195-5449324-3,Baby Reindeer,1
1,10649169,5449324,10649169-5449324-3,Monster (2022),2
1,10927887,5449324,10927887-5449324-3,Boots,1
1,10933083,5449324,10933083-5449324-27,Chief of War,1
1,11006114,5449324,11006114-5449324-3,Adolescence,1
3,11006116,5449324,11006116-5449324-3,Adolescence,1
4,11006117,5449324,11006117-5449324-27,Adolescence,1
5,11022953,5449324,11022953-5449324-27,Black Mirror,7
1,11023062,5449324,11023062-5449324-3,Black Mirror,7
3,11023063,5449324,11023063-5449324-28,Black Mirror,7
4,11023064,5449324,11023064-5449324-3,Black Mirror,7
2,11023065,5449324,11023065-5449324-3,Black Mirror,7
6,11167781,5449324,11167781-5449324-27,Alice in Borderland (2020),3
