created_at,updated_at,tv_show_name,user_id,tv_show_id,source
2017-04-30 00:33:41,2017-04-30 00:33:41,Forever (2014),5449324,281535,search
2018-04-22 15:35:26,2018-04-22 15:35:26,The Last Man on Earth,5449324,281622,see-episode
2017-04-30 00:33:53,2017-04-30 00:33:53,Assassination Classroom,5449324,283947,search
2017-10-28 20:56:06,2017-10-28 20:56:06,Marvel's Jessica Jones,5449324,284190,search
2017-10-25 20:46:29,2017-10-25 20:46:29,American Crime Story,5449324,289108,(null)/show-detail
2017-04-30 17:01:40,2017-04-30 17:01:40,Scream Queens,5449324,293302,search
2021-12-20 23:43:40,2021-12-20 23:43:40,Trollz,5449324,294729,see-episode
2017-04-30 00:35:47,2017-04-30 00:35:47,Elise's Secret,5449324,300699,/user/5449324/profile/show-detai
2017-04-10 10:41:29,2017-04-10 10:41:29,Chewing Gum,5449324,301562,show-detail
2021-03-25 19:07:18,2021-03-25 19:07:18,Miraculous: Tales of Ladybug & Cat Noir,5449324,302218,see-episode
2017-04-15 19:20:55,2017-04-15 19:20:55,Skam,5449324,303786,show-detail
2021-04-18 11:38:23,2021-04-18 11:38:23,My Hero Academia,5449324,305074,see-episode
2017-04-30 00:31:01,2017-04-30 00:31:01,Slasher,5449324,305194,(null)/show-detail
2017-04-20 23:22:09,2017-04-20 23:22:09,Big Little Lies,5449324,305719,show-detail
2017-09-24 12:00:09,2017-09-24 12:00:09,The Good Place,5449324,311711,(null)/show-detail
2017-04-30 00:24:39,2017-04-30 00:24:39,Riverdale,5449324,311954,show-recommendation
2018-06-12 19:30:51,2018-06-12 19:30:51,Dirk Gently's Holistic Detective Agency,5449324,312505,see-episode
2019-08-09 12:15:11,2019-08-09 12:15:11,Paquita Salas,5449324,317995,see-episode
2017-02-04 23:25:54,2017-02-04 23:25:54,Crazyhead,5449324,318000,show-detail
2017-01-19 10:42:07,2017-01-19 10:42:07,One Day at a Time (2017),5449324,318363,search
2023-01-22 19:14:36,2023-01-22 19:14:36,Great Greek Myths,5449324,318970,see-episode
2018-05-26 12:33:17,2018-05-26 12:33:17,Bapt & Gaël and the Adventures of the Cosmic Ball,5449324,320613,see-episode
2016-12-30 15:15:22,2016-12-30 15:15:22,The OA,5449324,321060,show-detail
2017-05-01 12:27:58,2017-05-01 12:27:58,The Handmaid's Tale,5449324,321239,(null)/show-detail
2019-08-07 20:23:30,2019-08-07 20:23:30,The Worst Witch (2017),5449324,321884,see-episode
2017-04-15 19:51:05,2017-04-15 19:51:05,Girlboss,5449324,322246,show-detail
2017-10-25 20:46:13,2017-10-25 20:46:13,Feud,5449324,322466,search
2017-03-06 21:06:01,2017-03-06 21:06:01,Louis(e),5449324,322884,show-detail
2017-06-29 22:28:59,2017-06-29 22:28:59,Cable Girls,5449324,323225,(null)/show-detail
2017-04-30 00:23:07,2017-04-30 00:23:07,Dear White People,5449324,323855,(null)/show-detail
2017-06-16 23:35:47,2017-06-16 23:35:47,GLOW,5449324,324835,(null)/show-detail
2017-10-25 20:49:23,2017-10-25 20:49:23,The Sinner,5449324,326866,(null)/show-detail
2017-05-31 08:44:27,2017-05-31 08:44:27,The Mist,5449324,326887,(null)/show-detail
2017-08-28 12:19:48,2017-08-28 12:19:48,Disjointed,5449324,327359,(null)/show-detail
2018-01-26 16:47:53,2018-01-26 16:47:53,Money Heist,5449324,327417,(null)/show-detail
2017-06-04 21:59:58,2017-06-04 21:59:58,Gypsy,5449324,328292,/recommendations/show-detail
2017-06-04 22:05:35,2017-06-04 22:05:35,Room 104,5449324,328308,/recommendations/show-detail
2017-08-10 18:53:58,2017-08-10 18:53:58,Playground,5449324,328350,(null)/show-detail
2017-08-21 21:11:36,2017-08-21 21:11:36,Tycoon (2017),5449324,328368,search
2017-08-21 21:11:45,2017-08-21 21:11:45,Pillow Talk,5449324,328369,search
2017-06-30 03:09:14,2017-06-30 03:09:14,Junior,5449324,328398,(null)/show-detail
2017-11-09 20:23:34,2017-11-09 20:23:34,Saving The Human Race,5449324,328661,(null)/show-detail
2017-10-12 16:52:06,2017-10-12 16:52:06,Dynasty (2017),5449324,328749,(null)/show-detail
2017-08-21 21:11:49,2017-08-21 21:11:49,You Got Trumped: The First 100 Days,5449324,329178,search
2017-07-16 18:12:21,2017-07-16 18:12:21,Duels,5449324,329536,(null)/show-detail
2017-11-19 22:19:04,2017-11-19 22:19:04,Alias Grace,5449324,329586,(null)/show-detail
2017-08-21 22:22:54,2017-08-21 22:22:54,Exposed,5449324,329674,search
2017-08-21 21:11:52,2017-08-21 21:11:52,Icarus,5449324,330229,search
2017-07-19 22:48:31,2017-07-19 22:48:31,Atypical,5449324,330374,(null)/show-detail
2020-05-16 03:11:15,2020-05-16 03:11:15,Calls,5449324,330525,see-episode
2017-08-21 22:22:55,2017-08-21 22:22:55,Surrogate,5449324,330895,search
2017-09-29 22:00:03,2017-09-29 22:00:03,Big Mouth,5449324,331431,see-episode
2017-07-25 22:57:29,2017-07-25 22:57:29,Skal,5449324,331920,search
2017-08-10 19:11:35,2017-08-10 19:11:35,Superhigh,5449324,331988,(null)/show-detail
2017-08-21 21:10:59,2017-08-21 21:10:59,Everyone I Love Is Dead,5449324,332763,(null)/show-detail
2017-09-15 10:13:18,2017-09-15 10:13:18,American Vandal,5449324,332828,(null)/show-detail
2017-08-08 06:41:46,2017-08-08 06:41:46,The Bar Mitzvah,5449324,332963,(null)/show-detail
2017-08-21 21:12:14,2017-08-21 21:12:14,,5449324,333146,search
2017-08-26 16:05:02,2017-08-26 16:05:02,Sons of God,5449324,333838,(null)/show-detail
2019-08-11 01:39:07,2019-08-11 01:39:07,Samantha!,5449324,334543,see-episode
2018-01-26 16:48:07,2018-01-26 16:48:07,Dark,5449324,334824,(null)/show-detail
2017-09-16 20:25:23,2017-09-16 20:25:23,Mooom,5449324,335024,(null)/show-detail
2021-02-08 13:02:48,2021-02-08 13:02:48,Siren (2018),5449324,335982,see-episode
2018-01-06 23:28:22,2018-01-06 23:28:22,The End of the F***ing World,5449324,336522,(null)/show-detail
2018-02-16 12:53:37,2018-02-16 12:53:37,Re:Mind,5449324,336622,(null)/show-detail
2018-12-30 22:51:33,2018-12-30 22:51:33,You,5449324,336924,see-episode
2018-01-17 18:39:45,2018-01-17 18:39:45,Everything Sucks!,5449324,341282,(null)/show-detail
2019-12-10 17:54:02,2019-12-10 17:54:02,Safe (2018),5449324,341291,see-episode
2018-02-14 23:55:59,2018-02-14 23:55:59,Skam France,5449324,341902,/search/discover
2021-02-07 21:11:14,2021-02-07 21:11:14,The Haunting,5449324,345246,see-episode
2018-04-18 18:38:29,2018-04-18 18:38:29,Vermin,5449324,345948,see-episode
2018-06-09 19:54:02,2018-06-09 19:54:02,The Hollow (2018),5449324,347726,see-episode
2018-07-01 15:40:13,2018-07-01 15:40:13,Cooking on High,5449324,348774,see-episode
2019-07-30 07:27:19,2019-07-30 07:27:19,Cupcake & Dino - General Services,5449324,350225,see-episode
2018-11-03 14:47:39,2018-11-03 14:47:39,Magic for Humans,5449324,350907,see-episode
2019-02-20 17:48:57,2019-02-20 17:48:57,Always a Witch,5449324,354019,see-episode
2019-04-16 12:43:27,2019-04-16 12:43:27,Quicksand,5449324,358977,see-episode
2019-08-11 02:51:36,2019-08-11 02:51:36,Osmosis (2019),5449324,359238,see-episode
2019-03-19 17:00:18,2019-03-19 17:00:18,The Order,5449324,359675,see-episode
2020-04-24 05:54:52,2020-04-24 05:54:52,Flinch,5449324,362788,see-episode
2020-10-26 11:23:34,2020-10-26 11:23:34,Unbelievable,5449324,367030,see-episode
2019-11-06 00:52:43,2019-11-06 00:52:43,Nailed It! France,5449324,370082,see-episode
2021-04-10 12:54:35,2021-04-10 12:54:35,It's a Sin,5449324,378994,see-episode
2022-07-26 19:43:22,2022-07-26 19:43:22,Queen (2022),5449324,416054,see-episode
